slug,total_downloads,rating_user,num_reviewers,plugin_age_since_release,last_update_year,freq_update_per_year,wp_requires,wp_tested,support_response_rate,open_issues,num_files,num_php_files,loc,plugin_size_kb,vulnerable
justified-gallery,177666,98,205,9,1,1,4.6,6.7.4,0,0,290,182,55970,4494.08,1
podlove-web-player,191581,74,14,13,1,1,4.9.6,6.8.3,0,0,126,23,2625,16417.05,1
sequential-order-numbers-for-woocommerce,24360,98,15,7,1,1,5,6.8.3,0,0,83,37,10789,2026.4,1
visual-portfolio,2245060,96,328,8,1,1,6.2,6.9.1,0.9,1,635,185,30563,7731.94,1
bigcommerce,118331,78,42,7,1,1,5.2,6.7.4,0,1,1886,1351,206702,18055.69,1
mx-time-zone-clocks,28735,94,15,6,1,1,4.9,6.5.7,0,0,115,35,1803,1683.97,1
video-list-manager,21199,94,12,13,5,0.2,3.0.1,5.4.18,0,0,66,14,2902,275.55,1
soisy-pagamento-rateale,13650,0,0,5,2,0.5,4.9,6.1.9,0,0,27,17,1510,97.49,1
responsivevoice-text-to-speech,232829,78,34,10,1,1,3.6,6.8.3,0,0,12,3,383,290.5,1
just-writing-statistics,10176,100,4,3,1,1,4.6,6.7.4,0,0,55,35,25530,1228.89,1
smart-agreements,2673,0,0,2,1,1,5.5,6.9.1,0,0,330,221,76328,11067.7,1
lastudio-element-kit,213643,100,7,4,1,1,5.2,6.9.0,0,0,1062,564,134267,18323.78,1
theme-per-user,8002,74,3,12,1,1,3.8.1,6.9.1,0,0,5,1,125,112.45,1
ar-for-wordpress,41924,92,10,8,1,1,5.5,6.9.1,0,0,229,72,16810,4912.45,1
publish-to-schedule,75448,86,23,14,1,1,2.8,6.9.1,0,0,21,7,953,435.6,1
blockwheels,1849,0,0,1,1,1,6.2,6.7.4,0,0,404,214,61741,8472.8,1
lana-text-to-image,1035,0,0,4,2,0.5,4,6.2.8,0,0,6,1,141,313.51,1
remember-me-controls,51303,86,7,15,1,1,5.5,6.6.4,0,0,9,3,1799,134.74,1
simple-post-notes,85471,100,24,10,1,1,6,6.8.3,0,0,7,1,478,61.61,1
eupago-gateway-for-woocommerce,44664,54,3,4,1,1,4.4,6.8.3,0,1,115,58,10914,982.54,1
api-info-themes-plugins-wp-org,1803,100,1,7,1,1,6,6.5.7,0,0,5,3,8887,392.46,1
wp-menu-cart,315223,96,23,12,1,1,3.4,6.9.1,0,0,102,4,1787,446.28,1
yatra,53416,92,20,6,1,1,5.6,6.9.1,0,0,531,299,40503,6313.43,1
wp-greet,35121,98,10,17,1,1,4.1,6.9.1,0,0,368,19,6166,7183.73,1
dk-pricr-responsive-pricing-table,499623,92,92,11,1,1,3.6,6.9.1,0,0,26,13,1335,1188.08,1
download-plugins-dashboard,835916,96,28,9,1,1,3.1,6.9.1,0,1,43,28,4765,268.22,1
mejorcluster,6531,78,7,6,1,1,4.7,6.6.4,0,0,25,15,1240,71.31,1
material-dashboard,4843,0,0,2,1,1,5.2,6.8.3,0,0,370,196,45150,10487.53,1
formafzar,5975,0,0,3,1,1,2.8,6.0.11,0,0,6,1,92,32.87,1
buzzsprout-podcasting,92901,100,5,16,1,1,2.7,6.6.4,0,0,15,2,295,62.85,1
wp-mailster,30495,98,32,9,1,1,5.3,6.8.3,0,2,270,130,36095,2468.12,1
custom-login,1396074,72,97,16,1,1,6.4,6.8.3,0,0,669,484,42960,2018.64,1
linkz-ai,3546,100,3,3,1,1,4.7,6.7.4,0,0,24,3,710,1212.52,1
dynamic-post,9427,100,1,8,1,1,3,6.8.3,0,0,42,4,2790,3633.29,1
cache-images,52139,80,6,21,2,0.5,2.8,6.4.7,0,0,12,1,535,205.83,1
square-thumbnails,18303,84,19,8,1,1,3.5,6.8.3,0,0,40,22,3838,304.29,1
category-icon,89466,20,3,10,1,1,4.9.19,6.8.3,0,0,6,2,602,53.86,1
wc4bp,95651,86,72,9,1,1,4.9,6.8.3,0,0,351,253,62951,4573.51,1
gs-portfolio,33676,86,36,10,1,1,4.3,6.9.1,0,0,132,70,10342,5598.12,1
wp-weixin,19145,100,6,7,1,1,4.9.5,6.7.4,0,0,60,30,10367,742.74,1
fable-extra,32969,0,0,1,1,1,5.2,6.9.1,0,0,89,54,6304,2148.66,1
wp-users-disable,11260,96,6,9,1,1,4.0.0,6.7.4,0,0,11,4,417,138.69,1
wp-paypal,559523,90,40,11,1,1,5.3,6.9.1,1,0,31,6,3357,268.39,1
seo-landing-page-generator,8893,80,4,7,1,1,4.9.0,7,0,0,1243,742,133433,10501.06,1
oxygen-mydata,20725,0,0,3,1,1,5.5,6.8.3,0,0,55,15,7619,2120.87,1
beds24-online-booking,97998,86,6,13,1,1,2.0.2,6.7.4,0,0,43,17,2970,146.59,1
currency-converter-widget-pro,7985,100,8,3,1,1,3.1,6.9.1,0,0,526,4,864,3184.84,1
gou-wc-account-tabs,7956,100,2,4,1,1,4.5,6.9.1,0,0,20,10,2166,158.61,1
piotnetforms,49096,80,19,5,2,0.5,4.7,6.5.7,0,0,218,61,10152,4783.75,1
mailup-auto-subscribtion,3934,100,1,10,1,1,4,6.8.3,0,0,19,3,240,145.25,1
premmerce,42700,94,32,8,1,1,4.8,6.9.1,0,0,487,385,61392,4431.41,1
donations-for-woocommerce,65168,90,39,10,1,1,3.5,6.6.4,0,0,16,3,369,131.2,1
skillbars,19941,94,3,10,1,1,4,6.9.1,0,0,219,153,52516,3699.17,1
fpw-category-thumbnails,48684,96,6,15,1,1,3.4,6.7.4,0,1,42,22,2816,537.56,1
forms-by-made-it,5146,100,1,9,1,1,5,6.8.0,0,0,1079,663,167413,15442.91,1
wc-price-history,48677,100,23,3,1,1,5.8,6.9.1,0.25,3,49,34,5529,257.59,1
ultra-companion,99076,0,0,7,1,1,5.6,6.5.7,0,0,117,70,5506,1424.47,1
zoho-subscriptions,15012,40,4,10,1,1,False,6.9.1,0,0,10,2,258,26.93,1
personalize-woocommerce-cart-page,58886,92,10,11,1,1,3.9,6.7.4,0,0,87,11,1165,3616.38,1
what-would-seth-godin-do,220719,96,10,17,1,1,6,6.9.1,0,0,8,5,455,26.62,1
trackserver,20721,100,19,11,1,1,4.7,6.8.3,0,0,100,19,6584,22920.03,1
woo-permalink-manager,597708,78,50,8,1,1,4.8,6.9.1,0,1,280,187,54017,5879.8,1
bsk-gravity-forms-custom-validation,3525,60,2,5,1,1,4,6.9.1,0,0,33,21,3735,536.57,1
snow-monkey-forms,384429,100,5,5,1,1,6.8,6.9.1,0,0,306,107,8084,716.96,1
responsive-owl-carousel-elementor,38251,100,4,3,1,1,6.3,6.9.1,0,0,30,21,2552,206.81,1
float-menu,790368,88,41,8,1,1,4.3,6.9.1,0,0,134,68,4572,2310.07,1
pre-party-browser-hints,174465,100,28,9,2,0.5,4.4,6.3.7,0,0,49,23,3575,1719.73,1
geoflickr,3301,0,0,9,1,1,5,6.7.4,0,0,9,2,274,29.28,1
lupsonline-link-netwerk,77114,0,0,4,1,1,3.0.1,6.7.4,0,0,39,34,2641,118.01,1
mystickyelements,925510,98,541,11,1,1,3.1,6.9.1,1,0,307,29,15590,8563.87,1
delete-usermetas,1961,100,1,7,2,0.5,4.2,6.1.9,0,0,9,1,149,80.64,1
smartemailing,10073,0,0,6,1,1,6.0.0,6.7.4,0,0,671,565,49897,4101.23,1
tracking-code-manager,2539237,82,58,10,1,1,3.6.0,6.8.3,0,0,569,29,7325,11218.3,1
themarketer,9319,100,4,2,1,1,4.6,6.8.3,0,0,60,39,7424,345,1
acf-city-selector,9483,0,0,5,1,1,3.6.0,6.8.3,0,0,45,24,4209,1932.62,1
woo-product-variation-swatches,376163,94,54,7,1,1,4.8,6.9.1,0,0,56,29,5007,667.61,1
falling-things,17816,80,3,9,1,1,3.5,6.9.1,0,0,11,2,218,55.25,1
zoho-forms,149033,54,14,9,1,1,2.8,6.8.3,0,0,17,3,324,249.5,1
order-tip-woo,36695,86,15,5,1,1,3,6.9.1,0.67,1,51,15,2080,625.44,1
listings-for-appfolio,8902,88,20,5,1,1,6,6.9.1,1,0,30,10,3886,370.54,1
10to8-online-booking,28675,100,3,10,1,1,2.5,6.3.7,0,0,3,1,39,5.34,1
plugins-list,30814,100,12,17,1,1,4.6,6.9.1,0,0,7,5,701,56.5,1
yahoo-media-player,27633,0,0,18,13,0.077,2.0.2,3.3.2,0,0,4,1,717,364.78,1
stax-buddy-builder,94036,92,56,5,1,1,5,6.9.1,0,0,218,149,28652,3950.59,1
contact-form-to-email,1692979,86,103,12,1,1,3.0.5,6.9.1,1,0,172,18,4621,1127.29,1
wp-menu-image,19873,100,2,5,1,1,5.4,6.7.4,0,0,8,2,236,23.1,1
donation-thermometer,96404,88,12,13,1,1,4.6,6.8.3,0,0,15,8,1744,1106.17,1
seo-automated-link-building,198882,96,33,7,1,1,5,6.8.3,0.5,1,281,195,58260,4225.13,1
wppizza,207090,100,55,12,1,1,3.3,6.8.3,0,0,440,200,70985,9259.35,1
kadence-woocommerce-email-designer,2140759,90,142,7,1,1,5.3,6.8.3,0.5,1,156,49,9873,5929.22,1
cs-element-bucket,1971,0,0,1,1,1,5.2,6.6.4,0,0,60,38,7641,434.09,1
tp-education,57374,100,3,9,1,1,4.7,6.8.3,0,0,83,52,5947,703.53,1
wp-extended-search,347271,98,72,11,1,1,4.9,6.9.1,0,0,33,8,2134,288.39,1
debrandify,1855,0,0,2,1,1,4.7,6.5.7,0,0,17,5,678,699.28,1
wp-meta-and-date-remover,2083696,84,71,11,1,1,3.0.1,6.8.3,0,0,223,153,51904,5564.64,1
team-members-for-elementor,7113,46,3,8,3,0.333,4.5,5.3.20,0,0,12,5,860,43.65,1
thrive-automator,435678,100,5,3,1,1,5.5,6.7.4,0,0,345,164,13671,4639.35,1
stockdio-historical-chart,44801,78,7,9,1,1,3.1,6.9.1,0,0,24,5,1732,393,1
demon-image-annotation,17150,100,2,15,1,1,2.5,6.9.1,0,0,24,11,2144,326.5,1
generate-pdf-using-contact-form-7,116808,94,38,5,1,1,3.0.1,6.8.3,0,0,600,515,99676,17668.71,1
spiraclethemes-site-library,73821,0,0,5,1,1,5,6.8.3,0,0,135,80,15238,1226.28,1
cf7-invisible-recaptcha,82469,62,14,8,2,0.5,4.5,6.2.8,0,0,15,1,655,895.39,1
file-renaming-on-upload,256730,96,40,12,1,1,4.0.0,6.8.3,1,0,78,52,8087,412.23,1
th-all-in-one-woo-cart,223569,0,0,4,1,1,5.5,6.9.1,0,0,78,28,4191,1086.68,1
eduadmin-booking,12994,0,0,8,1,1,6,6.6.4,0,0,171,148,18706,917.24,1
template-events-calendar,559109,98,210,8,1,1,5,6.9.1,1,0,219,75,12359,3616.38,1
blog-floating-button,74999,100,1,5,1,1,6,6.7.4,0,0,122,78,21760,1618.32,1
letsrecover-woocommerce-abandoned-cart,1075,0,0,4,3,0.333,5,6.1.9,0,0,462,309,36179,5042.21,1
m1downloadlist,17856,94,21,10,1,1,4,6.8.3,0,0,29,1,289,123.1,1
kivicare-clinic-management-system,113865,70,22,5,1,1,3.0.1,6.9.1,0,2,859,669,148361,22882.08,1
simple-downloads-list,2724,0,0,3,1,1,6.1,6.8.3,0,0,49,13,548,749.07,1
counter-box,46542,90,8,5,1,1,5.5,6.9.1,0,0,124,60,4205,1376.79,1
breadcrumbs-shortcode,6411,100,3,7,1,1,6,6.5.7,0,0,5,3,8818,391.18,1
typing-text,20568,56,4,5,1,1,5,6.6.4,0,0,24,10,969,1185.11,1
user-blocker,81399,82,82,10,1,1,5.4,6.6.4,0,0,44,6,7896,748.43,1
subscribers-com,73109,52,7,8,1,1,5.2,6.8.3,0,0,7,3,209,312.62,1
dobsondev-shortcodes,17196,100,4,11,5,0.2,2.5,5.4.18,0,0,11,2,2196,157.63,1
wp-orphanage-extended,7734,100,5,14,1,1,4.9,6.7.4,0,0,6,2,212,16.67,1
html5-audio-player,446534,92,166,10,1,1,5.2,6.9.1,0,0,485,291,72439,8975.93,1
float-block,3559,100,1,10,1,1,4.9,6.9.1,0,0,2,1,168,9.83,1
wp-vertical-image-slider,70094,98,7,12,1,1,3.5,6.9.1,0,0,27,1,2139,496.59,1
avcp,42113,98,17,12,1,1,4.4,6.9.1,0,0,122,20,4584,957.4,1
woosms-sms-module-for-woocommerce,72494,82,12,7,1,1,5.7,6.8.3,0,0,118,112,6093,272.18,1
enable-svg-webp-ico-upload,81454,92,10,4,1,1,4.7,6.9.1,0,0,55,44,3731,277.18,1
syntaxhighlighter,1130296,86,86,18,1,1,5.7,6.7.4,0,0,108,1,1548,503.8,1
web3-authentication,12962,94,23,3,1,1,2.0.2,6.5.7,0,0,140,89,10696,6265.87,1
wp-pipes,131080,86,37,12,1,1,6,6.8.3,0,0,467,250,62240,4536.55,1
woocommerce-currency-switcher,2072559,88,248,11,1,1,4.9.0,6.9.1,1,0,228,70,16447,5337.17,1
simple-website-logo,7128,100,2,11,1,1,6,6.7.4,0,0,3,1,106,7.58,1
floating-action-buttons,2836,0,0,7,1,1,4.6,6.6.4,0,0,148,4,2028,2897.98,1
magical-addons-for-elementor,250880,92,11,6,1,1,5,6.9.1,0,0,222,84,55123,8047.06,1
check-email,2575214,96,280,15,1,1,5,6.9.1,0,0,416,303,50441,3007.83,1
ip2location-variables,12029,46,3,12,1,1,2,6.9.1,0,0,23,12,3720,4574.64,1
ajax-thumbnail-rebuild,849470,96,90,16,2,0.5,2.8,6.2.8,0,0,12,1,355,89.33,1
post-and-page-builder,1728559,94,140,8,1,1,4.7,6.9.1,0,0,910,196,23366,20086.33,1
language-icons-flags-switcher,63325,98,20,12,3,0.333,3.3,5.8.12,0,0,101,3,356,229.57,1
appsero-helper,7590,100,2,7,1,1,4,6.9.1,0,0,69,56,6632,297.07,1
ni-woocommerce-order-export,19446,0,0,10,1,1,4.7,6.4.7,0,0,37,9,2610,2216.13,1
gutenverse,1183526,98,186,4,1,1,False,6.9.1,0.14,6,535,154,43664,14660.09,1
appexperts,27321,84,10,4,1,1,4.5.0,6.8.3,0,0,340,275,16905,1528.71,1
wooswipe,154385,90,39,10,1,1,6,6.7.4,0,0,54,17,1288,992.4,1
icdsoft-reseller-store,10104,0,0,6,1,1,6.3,6.9.1,0,0,609,564,52013,2929.95,1
userfeedback-lite,4026528,96,293,3,1,1,5.9.0,6.9.0,0,0,2371,185,36310,10387.09,1
chart-builder,287807,98,25,3,1,1,5,6.9.1,1,0,223,37,18318,6738.32,1
woo-salesforce-plugin-crm-perks,19417,98,45,8,1,1,4.7,6.9.1,0,0,66,18,8357,1354.2,1
wp-job-openings,560139,96,190,7,1,1,4.8,6.9.1,1,0,162,85,12951,3088.77,1
bukza,9345,100,2,8,1,1,4.7,6.9.1,0,0,20,15,799,57.53,1
webpushr-web-push-notifications,284286,94,60,6,1,1,3.8,6.9.1,1,0,65,21,2157,2713.7,1
amin-chat-button,11754,100,1,2,1,1,3,6.9.1,0,0,4,1,541,80.56,1
pagopar-woocommerce-gateway,25821,60,2,8,1,1,4,6.8.3,0,0,161,41,14101,1603.21,1
google-language-translator,3431536,94,614,13,1,1,2.9,6.9.1,1,0,20,5,2626,573.74,1
payu-india,70447,100,1,5,1,1,5.3,6.8.3,0,0,45,17,4559,1844.63,1
extra-user-details,61032,94,10,16,1,1,3.3,6.6.4,0,0,9,1,461,73.81,1
wpide,883181,96,286,14,1,1,5,6.7.4,0,0,1423,1072,141267,23633.06,1
gallery-with-thumbnail-slider,43085,76,9,7,1,1,4,6.9.1,0,1,35,9,1576,600.13,1
lazy-load-for-videos,446713,88,105,12,1,1,5.6,6.8.3,0,0,168,38,2408,4002.78,1
watermark-reloaded,169462,56,11,16,1,1,3.5,6.9.1,0,0,21,4,1166,3950.89,1
wecantrack,38153,96,12,5,1,1,5,6.8.3,0,0,22,10,1612,155.11,1
subscriptions-memberships-for-paypal,38254,78,12,9,1,1,3.5,6.9.1,0,1,14,13,3330,167.09,1
wpadcenter,30429,88,9,5,1,1,5,6.8.3,0,0,950,186,20088,19043.03,1
wp-lister-for-ebay,413452,88,73,13,1,1,4.2,6.7.4,0,1,2167,1825,309180,20340.54,1
auto-hide-admin-bar,130876,96,32,15,1,1,3.1,6.9.1,0,0,27,9,1010,10850.76,1
ecommerce-product-catalog,1403611,94,268,12,1,1,3.7,6.9.1,1,0,673,380,47607,15488.89,1
wp-migration-duplicator,378638,90,49,8,1,1,3.3,6.9.1,0,0,1004,854,158699,6851.45,1
menu-image,2084975,90,123,12,1,1,4.4.0,6.7.4,0,1,220,148,53542,3832.89,1
foobox-image-lightbox,2828298,78,93,11,1,1,3.5.1,6.9.1,0.5,1,258,180,54639,4063.72,1
yith-woocommerce-waiting-list,242848,64,26,10,1,1,6.7,6.9.1,0,1,354,203,24493,3825.55,1
facebook-conversion-pixel,1335187,78,40,11,1,1,4,6.9.1,1,0,48,17,3564,783.59,1
hero-banner-ultimate,52832,100,2,8,1,1,4,6.9.1,0,0,39,12,1705,569.48,1
revive-so,12952,98,22,2,1,1,5.4,6.9.1,0,0,182,145,20186,1589.29,1
swiss-toolkit-for-wp,16203,100,1,2,1,1,5.2,6.9.1,0,0,1065,518,56625,9373.77,1
paid-membership,29464,84,5,9,1,1,5.1,6.8.3,0,0,54,5,10115,4997.23,1
accept-stripe-payments-using-contact-form-7,8143,100,13,5,1,1,4.9,6.9.1,0.33,2,342,323,24479,1791.83,1
simple-membership-after-login-redirection,217109,96,15,11,1,1,4.5,6.9.1,0,0,3,2,280,18.12,1
meta-tag-manager,1116923,96,79,16,1,1,3.6,6.9.1,0,5,57,27,3230,560.98,1
ars-affiliate-page,2363,0,0,6,1,1,3.5.1,6.7.4,0,0,32,1,518,952.75,1
contests-from-rewards-fuel,55110,88,65,10,1,1,3.0.1,6.4.7,0,0,59,38,2262,1062.57,1
material-design-icons-for-elementor,103469,100,5,6,1,1,4.7,6.5.7,0,0,135,37,2181,3910.45,1
uptodown-apk-download-widget,82033,100,2,9,1,1,3.0.1,6.9.1,0,0,9,2,1633,513.56,1
admail,8463,100,8,2,1,1,5.9,6.7.4,0,0,71,42,4993,782.26,1
limit-attempts,190749,92,37,11,1,1,6.2,6.8.3,0,0,152,18,10553,6554.21,1
facebook-page-feed-graph-api,409129,92,64,10,1,1,4.6,6.8.3,0,0,21,9,1170,85.73,1
reamaze,16966,100,3,10,1,1,4,6.5.7,0,0,58,36,3184,241.24,1
explara-events,1703,0,0,8,6,0.167,4.6,5.3.20,0,0,89,56,5171,2582.18,1
ai-content,3979,100,2,3,1,1,4,6.7.4,0,0,117,32,6653,1308.68,1
wp-base-booking-of-appointments-services-and-events,44043,98,34,7,1,1,4.4.0,6.9.1,0,1,487,91,59534,7708.95,1
nooz,24113,100,7,11,1,1,6,6.6.4,0,0,86,48,2960,260.16,1
advanced-local-pickup-for-woocommerce,148315,94,55,5,1,1,5,6.9.1,0,0,81,22,5780,2121.28,1
x-addons-elementor,8988,0,0,1,1,1,5.8,6.8.3,0,0,40,25,10342,715.24,1
cf7-widget-elementor,736697,98,103,8,1,1,4.4,6.6.4,0,0,94,69,6229,537.24,1
dx-share-selection,2630,0,0,12,3,0.333,4.9,6.0.11,0,0,31,9,949,237.22,1
woo-giftcards,12344,100,9,7,2,0.5,4.3,6.3.7,0,0,24,11,707,134.53,1
google-distance-calculator,13103,68,5,15,1,1,6,6.7.4,0,0,371,66,13951,3122.19,1
wdesignkit,494118,96,12,2,1,1,6,6.8.3,0,0,243,41,11395,10785.87,1
quick-event-manager,275548,98,67,13,1,1,5.6,6.8.3,0,0,370,270,68015,7421.21,1
wds-multisite-aggregate,2894,100,2,11,9,0.111,3,4.7.31,0,0,13,8,1086,59.7,1
outdooractive-embed,7859,46,3,9,1,1,5,6.7.4,0,0,27,8,666,3445.13,1
post-grid-elementor-addon,501580,96,73,7,1,1,5,6.9.1,1,0,41,30,4676,209.19,1
wc-product-table-lite,283586,98,250,7,1,1,4.9,6.9.1,1,0,633,274,33135,6425.8,1
json-api-user,120811,78,21,12,1,1,3.0.1,6.8.3,0,0,4,2,704,47.29,1
mailchimp-top-bar,363677,92,30,11,1,1,4.9,6.9.1,0,0,16,7,1459,126.34,1
shopkeeper-extender,164298,100,1,3,1,1,6,6.9.1,0,0,257,99,20685,2142.09,1
